"site","Property","Elevation","SAGA Wetness Index","Rel. Slope Position","Vert. Dist. Channel","Catchment Area","Plan Curvature","Profile Curvature"
"Forest","Ca","-0.11***","-0.47***","0.09***","0.4***","0.24***","0.1***","NS"
"Agriculture","Ca","-0.76***","0.59***","-0.26***","-0.25***","0.1***","NS","NS"
"Forest","Co","-0.04*","-0.34***","0.05***","0.32***","0.15***","0.05**","-0.03*"
"Agriculture","Co","-0.63***","0.61***","-0.23***","-0.24***","0.14***","NS","NS"
"Forest","Cs","0.09***","-0.4***","0.17***","0.34***","0.18***","0.06***","-0.03*"
"Agriculture","Cs","0.58***","-0.45***","0.06***","0.14***","-0.11***","NS","NS"
"Agriculture","Fe","-0.14***","0.32***","-0.09***","-0.09***","0.09***","NS","NS"
"Forest","Li","0.1***","-0.15***","0.05***","0.18***","0.07***","NS","NS"
"Agriculture","Li","-0.4***","0.27***","-0.42***","-0.2***","0.13***","NS","NS"
"Forest","La","NS","-0.23***","NS","0.24***","0.11***","0.05***","NS"
"Agriculture","La","0.53***","-0.3***","0.07***","0.15***","NS","NS","NS"
"Forest","Nb","0.12***","0.46***","-0.11***","-0.34***","-0.21***","-0.09***","0.05***"
"Agriculture","Nb","0.48***","-0.52***","0.25***","0.15***","-0.08***","NS","NS"
"Forest","Ni","0.19***","-0.27***","0.14***","0.2***","0.04**","NS","NS"
"Agriculture","Ni","-0.75***","0.71***","-0.32***","-0.32***","0.2***","NS","NS"
"Agriculture","Rb","0.81***","-0.71***","0.24***","0.3***","-0.15***","NS","NS"
"Forest","Sr","-0.34***","-0.44***","-0.12***","0.36***","0.26***","0.11***","-0.05**"
"Agriculture","Sr","-0.81***","0.64***","-0.35***","-0.27***","0.12***","NS","NS"
"Agriculture","*a**","0.61***","-0.44***","0.35***","0.23***","-0.12***","NS","NS"
"Agriculture","*b**","0.39***","-0.22***","0.22***","0.1***","-0.09***","NS","NS"
"Agriculture","*c**","0.41***","-0.24***","0.22***","0.11***","-0.09***","NS","NS"
"Forest","*h**","-0.08***","-0.36***","NS","0.35***","0.22***","0.08***","-0.03*"
"Agriculture","*h**","-0.22***","0.31***","-0.15***","-0.15***","NS","NS","NS"
"Forest","*x*","-0.04**","-0.38***","0.09***","0.35***","0.22***","0.09***","-0.03*"
"Agriculture","*x*","-0.15***","0.25***","-0.23***","-0.12***","NS","NS","NS"
