MSE,R2,site,property
0.00412889017592126,0.91444619817566275,Agriculture,a_col
0.0280920016281232,0.9628350038556858,Agriculture,la
0.2648490834175358,0.6627577280138931,Forest,li
4.790028420860242e-5,0.729118012968057,Agriculture,h_col
0.2464022740446668,0.951820165489499,Agriculture,ni
4.164086289838956e-7,0.8203793870667173,Agriculture,x_col
0.3882045804691045,0.97662081134685,Agriculture,rb
13.884382177667096,0.8190444509588672,Forest,sr
0.23318425176615595,0.9525892883418232,Agriculture,ca
0.12508572452604955,0.8064536857938898,Forest,ca
1.4047919152094916,0.7781224947432711,Forest,ni
0.08694008056694315,0.8868163679021898,Agriculture,b_col
0.0836597496166087,0.8777916180533885,Agriculture,co
0.2851496900646205,0.7656492522546474,Forest,co
9.408801814745104e-4,0.7095758721763075,Agriculture,nb
44.76653127488588,0.971232436429448,Agriculture,sr
0.00151704351184125,0.8264053254944945,Agriculture,fe
0.09702219442107408,0.8949851990158288,Agriculture,c_col
0.24367929299421856,0.8810323898521644,Agriculture,li
3.361352103346304e-4,0.8611030303643322,Forest,h_col
2.1842574493487877e-4,0.8446816255558028,Forest,nb
0.00138028793970209,0.8644504949015245,Forest,cs
0.00192050856606761,0.9243619380222732,Agriculture,cs
0.6042108394206428,0.7814593069320289,Forest,la
